team,bbref_id,player_name,age,guaranteed_remaining
UTA,peterda02,Darryn Peterson,19,27050640
UTA,nurkiju01,Jusuf Nurkić,32,22000000
UTA,baileac01,Ace Bailey,20,9523080
UTA,georgke01,Keyonte George,22,162012383
UTA,hayesja02,Jaxson Hayes,26,6000000
UTA,okogijo01,Josh Okogie,28,6000000
UTA,sensabr01,Brice Sensabaugh,22,4862237
UTA,mykhasv01,Svi Mykhailiuk,29,
UTA,bambamo01,Mo Bamba,28,6968390
UTA,filipky01,Kyle Filipowski,22,
UTA,colliis01,Isaiah Collier,21,2763960
UTA,ingraha01,Harrison Ingram,23,2449421
UTA,alexatr01,Trey Alexander,23,
UTA,grayha01,Hayden Gray,23,
UTA,batesta01,Tamar Bates,23,
WAS,davisan02,Anthony Davis,33,58456566
WAS,youngtr01,Trae Young,28,154403496
WAS,dybanaj01,AJ Dybantsa,19,30233760
WAS,sarral01,Alex Sarr,21,12370680
WAS,coulibi01,Bilal Coulibaly,22,9240012
WAS,johnstr03,Tre Johnson,20,8649600
WAS,aytonde01,Deandre Ayton,28,8104000
WAS,manntr01,Tre Mann,25,8000000
WAS,middlkh01,Khris Middleton,35,6499000
WAS,carrica01,Bub Carrington,21,4900560
WAS,rileywi01,Will Riley,20,3688320
WAS,georgky01,Kyshawn George,22,3108000
WAS,champju01,Justin Champagnie,25,2667944
WAS,gillan01,Anthony Gill,33,2449421
WAS,murphke02,KeShawn Murphy,23,
WAS,okparfe01,Felix Okpara,22,
WAS,vukcetr01,Tristan Vukcevic,23,
WAS,watkija01,Jamir Watkins,25,
