team,snapshot_date,player_name,position,age,contract_type,cap_hit,base_salary,incentives_likely,incentives_unlikely,trade_bonus_proration,guaranteed
los-angeles-lakers,2026-07-12,Sandro Mamukelashvili,C,27,FA,13000000,13000000,,,,13000000
los-angeles-lakers,2026-07-12,Jarred Vanderbilt,PF,27,VET-EXT,12428571,12428571,,,,12428571
los-angeles-lakers,2026-07-12,Jaden Hardy,SG,24,VET-EXT,6000000,6000000,,,,6000000
los-angeles-lakers,2026-07-12,Jake LaRavia,PF,25,FA,6000000,6000000,,,,6000000
los-angeles-lakers,2026-07-12,Dalton Knecht,SF,25,RK-1ST,4201080,4201080,,,,4201080
los-angeles-lakers,2026-07-12,Cameron Carr,SG,22,RK-1ST,3315360,3315360,,,,3315360
los-angeles-lakers,2026-07-12,Bronny James,PG,22,RK-2ND,2296271,2296271,,,,2296271
los-angeles-lakers,2026-07-12,Adou Thiero,SF,22,RK-2ND,2150917,2150917,,,,2150917
memphis-grizzlies,2026-07-11,Jerami Grant,PF,32,FA,34206898,34206898,,,,34206898
memphis-grizzlies,2026-07-11,Kentavious Caldwell-Pope,SG,33,FA,21621500,21621500,,,,21621500
memphis-grizzlies,2026-07-11,Isaiah Stewart,C,25,RK-EXT,15000000,15000000,,1000000,,15000000
memphis-grizzlies,2026-07-11,Ty Jerome,SG,29,FA,9220050,9220050,,,,9220050
memphis-grizzlies,2026-07-11,Quinten Post,C,26,FA,9000000,9000000,,1350000,,9000000
memphis-grizzlies,2026-07-11,Taylor Hendricks,PF,23,RK-1ST,7805900,7805900,,,,7805900
memphis-grizzlies,2026-07-11,Zach Edey,C,24,RK-1ST,6332760,6332760,,,,
memphis-grizzlies,2026-07-11,Cedric Coward,SG,23,RK-1ST,6001080,6001080,,,,6001080
memphis-grizzlies,2026-07-11,D'Angelo Russell,PG,30,FA,5969250,5969250,,,,5969250
memphis-grizzlies,2026-07-11,Kris Murray,PF,26,RK-1ST,5315004,5315004,,,,5315004
memphis-grizzlies,2026-07-11,Walter Clayton Jr.,PG,23,RK-1ST,4190520,4190520,,,,4190520
memphis-grizzlies,2026-07-11,Taj Gibson,C,41,ROS,3815861,3815861,,,,
memphis-grizzlies,2026-07-11,AJ Johnson,PG,22,RK-1ST,3237120,3237120,,,,3237120
memphis-grizzlies,2026-07-11,Olivier-Maxence Prosper,PF,24,ROS,2497812,2497812,,,,2497812
memphis-grizzlies,2026-07-11,Scotty Pippen Jr.,PG,26,,2461462,2461462,,,,2461462
memphis-grizzlies,2026-07-11,Cam Spencer,SG,26,FA,2411090,2411090,,,,2411090
memphis-grizzlies,2026-07-11,G.G. Jackson,PF,22,ROS,2406205,2406205,,,,2406205
memphis-grizzlies,2026-07-11,Jaylen Wells,SG,23,RK-2ND,2296271,2296271,,,,300000
miami-heat,2025-10-02,Bam Adebayo,C,29,VET-EXT,49641600,49641600,,,,49641600
miami-heat,2025-10-02,Tyler Herro,SG,27,RK-EXT,33000000,33000000,,2500000,,33000000
miami-heat,2025-10-02,Andrew Wiggins,SF,31,VET-EXT,30169644,30169644,,,,30169644
miami-heat,2025-10-02,Nikola Jovic,SF,23,RK-EXT,13928571,13928571,,,,13928571
miami-heat,2025-10-02,Davion Mitchell,PG,28,FA,12400000,12400000,,,,12400000
miami-heat,2025-10-02,Jaime Jaquez Jr.,SF,25,RK-1ST,5939141,5939141,,,,5939141
miami-heat,2025-10-02,Kel'el Ware,C,22,RK-1ST,4654920,4654920,,,,
miami-heat,2025-10-02,Kasparas Jakucionis,PG,20,RK-1ST,3841680,3841680,,,,3841680
miami-heat,2025-10-02,Dru Smith,SG,29,FA,2584539,2584539,,,,
miami-heat,2025-10-02,Pelle Larsson,SG,25,RK-2ND,2296271,2296271,,,,
miami-heat,2025-10-02,Myron Gardner,G,25,2W,,,,,,
milwaukee-bucks,2026-07-12,Gary Trent Jr.,SG,28,FA,14285714,14285714,,,,14285714
milwaukee-bucks,2026-07-12,Tyler Herro,SG,27,RK-EXT,33000000,33000000,,2500000,,33000000
milwaukee-bucks,2026-07-12,Myles Turner,C,30,FA,26584164,26584164,,,,26584164
milwaukee-bucks,2026-07-12,Kyle Kuzma,PF,31,FA,20490152,19431819,725000,2275000,,19431819
milwaukee-bucks,2026-07-12,Caris LeVert,SG,32,FA,14809200,14809200,,,,14809200
milwaukee-bucks,2026-07-12,AJ Green,SG,27,VET-EXT,10044644,10044644,,,,10044644
milwaukee-bucks,2026-07-12,Brayden Burries,SG,21,RK-1ST,6417360,6417360,,,,6417360
milwaukee-bucks,2026-07-12,Jaime Jaquez Jr.,SF,25,RK-1ST,5939141,5939141,,,,5939141
milwaukee-bucks,2026-07-12,Nate Ament,PF,20,RK-1ST,5502000,5502000,,,,5502000
milwaukee-bucks,2026-07-12,Ousmane Dieng,SF,23,FA,5401235,5401235,,,,5401235
milwaukee-bucks,2026-07-12,Kevin Porter Jr.,PG,26,FA,5390700,5390700,,,,5390700
milwaukee-bucks,2026-07-12,Kel'el Ware,C,22,RK-1ST,4654920,4654920,,,,
milwaukee-bucks,2026-07-12,Ryan Rollins,SG,24,FA,4000000,4000000,,,,4000000
milwaukee-bucks,2026-07-12,Kasparas Jakucionis,PG,20,RK-1ST,3841680,3841680,,,,3841680
milwaukee-bucks,2026-07-12,Jericho Sims,C,28,FA,2801346,2801346,,,,2801346
milwaukee-bucks,2026-07-12,Pete Nance,PF,26,FA,2537526,2537526,,,,
milwaukee-bucks,2026-07-12,Bogoljub Marković,PF,21,RK-2ND,1357763,1357763,,,,1357763
minnesota-timberwolves,2023-11-14,Anthony Edwards,SG,25,DRK-EXT,48924624,48924624,,,,48924624
minnesota-timberwolves,2023-11-14,LaMelo Ball,PG,25,DRK-EXT,40770520,40770520,,,,40770520
minnesota-timberwolves,2023-11-14,Rudy Gobert,C,34,VET-EXT,36500000,36500000,,,,36500000
minnesota-timberwolves,2023-11-14,Julius Randle,PF,32,FA,33333334,33333334,,,,33333334
minnesota-timberwolves,2023-11-14,Jaden McDaniels,PF,26,RK-EXT,26200000,26200000,,1000000,,26200000
minnesota-timberwolves,2023-11-14,Ayo Dosunmu,PG,27,FA,19310345,19310345,,,,19310345
minnesota-timberwolves,2023-11-14,Josh Green,SG,26,RK-EXT,14679012,14679012,,,,14679012
minnesota-timberwolves,2023-11-14,Donte DiVincenzo,SG,30,FA,12535000,12535000,,750000,,12535000
minnesota-timberwolves,2023-11-14,Joan Beringer,C,20,RK-1ST,4411200,4411200,,,,4411200
minnesota-timberwolves,2023-11-14,Jaylen Clark,SG,25,FA,3086420,3086420,,,,3086420
minnesota-timberwolves,2023-11-14,Nah'Shon Hyland,PG,26,FA,2845883,2845883,,,,2845883
minnesota-timberwolves,2023-11-14,Terrence Shannon Jr.,SG,26,RK-1ST,2801640,2801640,,,,2801640
minnesota-timberwolves,2023-11-14,Trey Lyles,PF,31,FA,2449421,3876529,,,,3876529
minnesota-timberwolves,2023-11-14,Isaiah Evans,SG,21,RK,1357763,1357763,,,,
new-orleans-pelicans,2026-02-25,Zion Williamson,PF,26,DRK-EXT,42166510,42166510,,,,
new-orleans-pelicans,2026-02-25,Jordan Poole,SG,27,RK-EXT,34044642,34044642,,3750000,,34044642
new-orleans-pelicans,2026-02-25,Dejounte Murray,PG,30,VET-EXT,32785071,28767536,,2435997,,28767536
new-orleans-pelicans,2026-02-25,Trey Murphy III,SF,26,RK-EXT,27000000,27000000,,,,27000000
new-orleans-pelicans,2026-02-25,Herb Jones,SF,28,FA,14898786,14898786,,,,14898786
new-orleans-pelicans,2026-02-25,Kevon Looney,C,30,FA,8000000,8000000,,,,
new-orleans-pelicans,2026-02-25,Jeremiah Fears,PG,20,RK-1ST,7896240,7896240,,,,7896240
new-orleans-pelicans,2026-02-25,Jordan Hawkins,SG,24,RK-1ST,7021895,7021895,,,,7021895
new-orleans-pelicans,2026-02-25,Saddiq Bey,SF,27,FA,6440678,6440678,,349206,,6440678
new-orleans-pelicans,2026-02-25,Derik Queen,C,22,RK-1ST,5416080,5416080,,,,5416080
new-orleans-pelicans,2026-02-25,Yves Missi,C,22,RK-1ST,3512760,3512760,,,,3512760
new-orleans-pelicans,2026-02-25,Bryce McGowens,SG,24,ROS,2584539,2584539,,,,2584539
new-orleans-pelicans,2026-02-25,Karlo Matkovic,PF,25,RK-2ND,2296271,2296271,,,,
new-orleans-pelicans,2026-02-25,Micah Peavy,SG,25,RK-2ND,2150917,2150917,,,,2150917
new-york-knicks,2026-03-25,Karl-Anthony Towns,C,31,DVET-EXT,57078728,57078728,,,,57078728
new-york-knicks,2026-03-25,OG Anunoby,SF,29,FA,42500000,42500000,,,,42500000
new-york-knicks,2026-03-25,Jalen Brunson,PG,30,VET-EXT,37739521,37739521,,,,37739521
new-york-knicks,2026-03-25,Mikal Bridges,SF,30,VET-EXT,33482145,33482145,,,,33482145
new-york-knicks,2026-03-25,Josh Hart,SG,31,VET-EXT,20923760,20923760,,,,20923760
new-york-knicks,2026-03-25,Jose Alvarado,PG,28,VET-EXT,4500000,4500000,,,,4500000
new-york-knicks,2026-03-25,Miles McBride,PG,26,VET-EXT,3956523,3956523,,,,3956523
new-york-knicks,2026-03-25,Pacome Dadiet,SG,21,RK-1ST,2983680,2983680,,,,2983680
new-york-knicks,2026-03-25,Tyler Kolek,PG,25,RK-2ND,2296271,2296271,,,,2296271
oklahoma-city-thunder,2025-07-30,Chet Holmgren,C,24,rookie-maximum-extension,41368000,41368000,,,,41368000
oklahoma-city-thunder,2025-07-30,Jalen Williams,SF,25,DRK-EXT,41368000,41368000,,,,41368000
oklahoma-city-thunder,2025-07-30,Shai Gilgeous-Alexander,PG,28,DRK-EXT,40806150,40806150,,,,40806150
oklahoma-city-thunder,2025-07-30,Isaiah Hartenstein,C,28,FA,28500000,28500000,,,,
oklahoma-city-thunder,2025-07-30,Alex Caruso,SG,32,VET-EXT,19550160,19550160,,,,19550160
oklahoma-city-thunder,2025-07-30,Luguentz Dort,SG,27,FA,18222222,17722222,500000,500000,,
oklahoma-city-thunder,2025-07-30,Isaiah Joe,SG,27,FA,11323006,11323006,,,,11323006
oklahoma-city-thunder,2025-07-30,Aaron Wiggins,SG,28,FA,9224300,8831776,392524,,,8831776
oklahoma-city-thunder,2025-07-30,Jaylin Williams,C,24,VET-EXT,7774648,7774648,,,,7774648
oklahoma-city-thunder,2025-07-30,Cason Wallace,PG,23,RK-1ST,7420806,7420806,,,,7420806
oklahoma-city-thunder,2025-07-30,Kenrich Williams,PF,32,VET-EXT,7163000,7163000,,,,
oklahoma-city-thunder,2025-07-30,Nikola Topic,PG,21,RK-1ST,5429760,5429760,,,,
oklahoma-city-thunder,2025-07-30,Thomas Sorber,C,21,RK-1ST,4887720,4887720,,,,4887720
oklahoma-city-thunder,2025-07-30,Ajay Mitchell,PG,24,FA,2850000,2850000,,,,1500000
orlando-magic,2025-08-02,Franz Wagner,SF,25,DRK-EXT,41754690,41754690,,,,41754690
orlando-magic,2025-08-02,Paolo Banchero,PF,24,DRK-EXT,41368000,41368000,,,,41368000
orlando-magic,2025-08-02,Desmond Bane,SG,28,RK-EXT,39446090,39446090,,1324430,,39446090
orlando-magic,2025-08-02,Jalen Suggs,SG,25,RK-EXT,32400000,32400000,,,,32400000
orlando-magic,2025-08-02,Wendell Carter Jr.,C,27,VET-EXT,18102000,18102000,,,,18102000
orlando-magic,2025-08-02,Jonathan Isaac,PF,29,VET-EXT,14500000,14500000,,,,8000000
orlando-magic,2025-08-02,Anthony Black,SG,23,RK-1ST,10106316,10106316,,,,10106316
orlando-magic,2025-08-02,Goga Bitadze,C,27,FA,7608696,7608696,,,,7608696
orlando-magic,2025-08-02,Jett Howard,SG,23,RK-1ST,7337939,7337939,,,,7337939
orlando-magic,2025-08-02,Tristan Da Silva,SF,25,RK-1ST,3991200,3991200,,,,
orlando-magic,2025-08-02,Jase Richardson,SG,21,RK-1ST,3132360,3132360,,,,3132360
orlando-magic,2025-08-02,Noah Penda,SF,22,RK-2ND,2150917,2150917,,,,2150917
philadelphia-76ers,2026-03-26,Joel Embiid,C,32,VET-EXT,57750000,57750000,,,,57750000
philadelphia-76ers,2026-03-26,Paul George,SG,36,FA,54126380,54126380,,,,54126380
philadelphia-76ers,2026-03-26,Tyrese Maxey,PG,26,FA,40770520,40770520,,,,40770520
philadelphia-76ers,2026-03-26,VJ Edgecombe,SG,21,RK-1ST,11663880,11663880,,,,11663880
philadelphia-76ers,2026-03-26,Dominick Barlow,PF,23,ROS,3415000,3415000,,,,
philadelphia-76ers,2026-03-26,Trendon Watford,PF,26,FA,2801346,2801346,,,,
philadelphia-76ers,2026-03-26,Jabari Walker,SF,24,ROS,2584539,2584539,,,,250000
philadelphia-76ers,2026-03-26,Justin Edwards,SG,23,FA,2411090,2411090,,,,2411090
philadelphia-76ers,2026-03-26,Adem Bona,C,23,RK-2ND,2296271,2296271,,,,
philadelphia-76ers,2026-03-26,Johni Broome,C,24,RK-2ND,2150917,2150917,,,,2150917
phoenix-suns,2026-07-12,Miles Bridges,SF,28,FA,22826087,22826087,,,,22826087
phoenix-suns,2026-07-12,Luke Kennard,SG,30,FA,6368000,6368000,,,,6368000
phoenix-suns,2026-07-12,Devin Booker,SG,30,DVET-EXT,57078728,57078728,,,,57078728
phoenix-suns,2026-07-12,Jalen Green,SG,24,RK-EXT,36251166,36000000,,,,36000000
phoenix-suns,2026-07-12,Dillon Brooks,SF,31,S&T,20992727,19992727,1000000,,,19992727
phoenix-suns,2026-07-12,Grayson Allen,SG,31,VET-EXT,18125000,18125000,,,,18125000
phoenix-suns,2026-07-12,Mark Williams,C,25,FA,11728395,11728395,,,,11728395
phoenix-suns,2026-07-12,Royce O'Neale,SF,33,FA,10875000,10875000,,500000,,10875000
phoenix-suns,2026-07-12,Collin Gillespie,PG,27,FA,10714286,10714286,,,,10714286
phoenix-suns,2026-07-12,Khaman Maluach,C,20,RK-1ST,6316680,6316680,,,,6316680
phoenix-suns,2026-07-12,Jordan Goodwin,PG,28,FA,5864198,5864198,,,,5864198
phoenix-suns,2026-07-12,Haywood Highsmith,F,30,ROS,3018158,3018158,,,,1000000
phoenix-suns,2026-07-12,Koa Peat,PF,20,RK-1ST,2926800,2926800,,,,2926800
phoenix-suns,2026-07-12,Ryan Dunn,SF,24,RK-1ST,2784240,2784240,,,,2784240
phoenix-suns,2026-07-12,Jamaree Bouyea,PG,27,ROS,2584539,2584539,,,,
phoenix-suns,2026-07-12,Oso Ighodaro,C,24,RK-2ND,2296271,2296271,,,,2296271
phoenix-suns,2026-07-12,Rasheer Fleming,PF,22,RK-2ND,2150917,2150917,,,,2150917
