team,snapshot_date,deadline_date,player_name,kind,holder,season,value,note,raw_type
denver-nuggets,2025-10-21,6/29/2026,Tamar Bates,qualifying_offer,,2026-27,,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
denver-nuggets,2025-10-21,7/6/2026,Jonas Valanciunas,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
denver-nuggets,2025-10-21,10/21/2026,Zeke Nnaji,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
denver-nuggets,2025-10-21,10/31/2026,DaRon Holmes II,option,club,2027-28,5547138,,CLUB 2027-28 Club Option
denver-nuggets,2025-10-21,6/29/2027,Nikola Jokic,option,player,2027-28,62832000,,PLAYER 2027-28 Player Option
denver-nuggets,2025-10-21,6/29/2027,Zeke Nnaji,option,player,2027-28,7466667,,PLAYER 2027-28 Player Option
denver-nuggets,2025-10-21,6/29/2027,Julian Strawther,qualifying_offer,,2027-28,7723090,,RFA / QO 2027-28 Qualifying Offer
denver-nuggets,2025-10-21,9/7/2027,Jamal Murray,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
denver-nuggets,2025-10-21,10/1/2027,Aaron Gordon,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
denver-nuggets,2025-10-21,6/29/2028,Aaron Gordon,option,player,2028-29,37094523,,PLAYER 2028-29 Player Option
denver-nuggets,2025-10-21,6/29/2028,DaRon Holmes II,other,,2028-29,8586971,,2028-29
denver-nuggets,2025-10-21,10/1/2028,Christian Braun,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
detroit-pistons,2026-03-11,6/29/2026,Tolu Smith III,qualifying_offer,,2026-27,,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
detroit-pistons,2026-03-11,6/29/2026,Wendell Moore Jr.,qualifying_offer,,2026-27,,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
detroit-pistons,2026-03-11,6/29/2026,Daniss Jenkins,option,club,2026-27,4000000,,CLUB 2026-27 Club Option
detroit-pistons,2026-03-11,6/29/2026,Jalen Duren,qualifying_offer,,2026-27,8966188,,RFA / QO 2026-27 Qualifying Offer
detroit-pistons,2026-03-11,6/30/2026,Bobi Klintman,guarantee,,2026-27,2296271,,GUARANTEED 2026-27 Guaranteed
detroit-pistons,2026-03-11,7/11/2026,Isaiah Stewart,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
detroit-pistons,2026-03-11,10/31/2026,Ron Holland II,option,club,2027-28,11491183,,CLUB 2027-28 Club Option
