id,name,title,_source_team_ids
066fa085-27b4-4052-9fbe-a8a438ccf0cf,Royal Ivey,Assistant Coach,11
ba07a522-6781-460c-a29a-708a9857ceef,Ben Sullivan,Assistant Coach,11
9a9c5bd1-2da7-478f-aead-6bd042cc11af,Garrett Jackson,Assistant Coach,11
3df9198c-c19c-42ba-85f0-5760589e801e,Cam Hodges,Assistant Coach,11
dd177f6b-9b23-42af-88fd-a9e8aba9acdf,Will Dunn,Assistant Coach,11
64699338-7351-4667-b605-51a67afd9b57,Josh Bostic,Assistant Coach,11
509462a9-3b20-485e-9eeb-b173f679c216,Robbie Lemons,Assistant Coach,11
dbd1f570-3fc1-4c89-b9cb-b732b24c8c26,Ime Udoka,Head Coach,11
6ffd9632-1bf9-47f8-b9a8-fff3ba643aee,Rafael Stone,Executive,11
06d52d74-4137-46af-ad65-17ce716695e8,Mike Weinar,Assistant Coach,12
c4d95651-3298-4fc8-88d1-96f72c8fd468,Josh Corbeil,Trainer,12
4ec52ed1-d0b8-404a-a3ab-19632eaa5da6,Jannero Pargo,Assistant Coach for Player Development,12
4bb1b165-9cd1-4136-beb5-5d84a75cbb24,Issac Yacob,Assistant Coach for Player Development,12
1f5458ad-4e67-4d28-a349-c9bc1e0f3efa,Maurice Baker,Assistant Coach for Player Development,12
381fc07d-6c57-45cd-8c56-7ee1553ec01c,Jenny Boucek,Assistant Coach,12
196cbef0-705c-4ed4-b515-135c1452c9b3,Lloyd Pierce,Assistant Coach,12
8f7786cb-47b9-42be-af93-ffd986b2c0b2,Johnny Carpenter,Assistant Coach,12
eb572de0-3a6f-46e4-848b-0b7e69170024,Jim Boylen,Assistant Coach,12
b6e95e20-2a75-4011-90dd-ee14cb332d72,Rick Carlisle,Head Coach,12
9a8def34-4e81-4386-a1ef-66e4a65d761f,Kevin Pritchard,Executive,12
9f31986e-831e-4b92-b7d0-2531226eec31,Brendan O'Connor,Assistant Coach,13
49ed92fe-d543-48ea-92c2-f4972a5fec1b,Dan Craig,Assistant Coach,13
29ff4533-858e-46d2-9bfb-dac3f35d7ba4,Jasen Powell,Trainer,13
2c208a23-049c-410a-984b-3c26a56ec29f,Daniel Shapiro,Strength and Conditioning,13
74af87d1-818c-4baf-a1e1-9849b4e57b65,Todd Wright,Assistant Coach/Vice President of Player Performance,13
6ddab29e-1fe4-4cbb-867f-fd434ac6f1a8,Jay Larranaga,Assistant Coach,13
37f920db-f378-4173-8861-af2a2ddacc2d,Larry Drew,Assistant Coach,13
1d1dd4aa-fda5-4814-b082-3eb4eec2472e,Jeff Van Gundy,Assistant Coach,13
ece2ede4-b1be-431b-a5ce-d9ec8c219e40,Jeremy Castleberry,Assistant Coach,13
3c624d7e-0129-483b-9d5b-95f479105fd7,Brian Shaw,Assistant Coach,13
1f19fef4-6101-4905-b579-0613ce4764e5,Shaun Fein,Assistant Coach,13
e63f040a-34b5-4492-9772-f2f3fb08bed2,Dahntay Jones,Assistant Coach,13
82ac9828-e673-4d78-ac5f-67752bf5176b,Chris Holguin,Assistant Coach,13
5c5cfe28-4511-49a8-8a43-18cee2ca65b9,Conor Dunleavy,Assistant Coach,13
42a84759-ab90-4c8d-9b0a-7893eda44633,Tim Dather,Assistant Coach,13
ab93712e-a4bb-404d-85f9-e957123b1e7f,Tyronn Lue,Head Coach,13
d45c978f-4cce-4125-b564-9570165d4226,Lawrence Frank,Executive,13
85177ea0-44e9-4747-8254-1ea00188b66f,Ed Streit,Strength and Conditioning,14
e3f01da2-cb8e-4f0c-9785-57ea3f395fcc,DeMarre Carroll,Assistant Coach,14
c9d3fd7a-3304-498f-b0e4-5a71a64c4cc3,Schuyler Rimmer,Assistant Coach,14
16cc752d-e97f-4e71-bcac-41d3a9a87350,Darvin Ham,Head Coach,14
176c45a3-c69b-46a5-9d6d-b6a29cd9fbcb,Roger Sancho,Trainer,14
7e1deb01-a379-422e-83a9-6db89a30aea9,J.D. DuBois,Assistant Coach,14
6c9857f9-8352-4b87-b986-59f0057ebf5c,Chris Jent,Assistant Coach,14
cf1ba074-6875-4341-b4f2-cedb1166a746,Phil Handy,Assistant Coach,14
e391166f-d07d-433e-9434-ea0b399f6d4e,Zach Peterson,Assistant Coach,14
117f316f-6cfd-499e-a9f5-23367c1543bf,Jordan Ott,Assistant Coach,14
7a2f742b-aae5-4c74-b51f-215160ee5ebd,Ty Abbott,Assistant Coach/Player Development,14
1235c480-7479-4c32-b2ef-f0879f94b94f,Nate McMillan,Associate Head Coach,14
3f660d46-ba2f-4d33-9221-27943a00f30b,Bob Beyer,Assistant Coach,14
7d8be8e2-9923-4dbf-8e41-42ff2f6848af,Greg St. Jean,Assistant Coach,14
564df982-bdfd-4402-8ddd-2bb7192686de,Scott Brooks,Assistant Coach,14
f42f46fa-ba10-49c5-9fea-7efa4d31c465,Beau Levesque,Assistant Coach,14
76daff57-63e2-4a7d-8b68-13ffb687e7cc,Lindsey Harding,Assistant Coach,14
5bba6bfe-5413-4d1b-a0cd-18a1dead95b3,JJ Redick,Head Coach,14
cd7356ce-4420-4ea4-9252-d34c561e70be,Rob Pelinka,Executive,14
492dac02-68de-4093-a150-ea9620ab7bfb,Pete Elliott,Trainer,15
23b9fec0-fcb4-4aab-850c-fe51aca58ace,Patrick St. Andrews,Assistant Coach,15
42e7c61c-463e-4102-8dd7-853132a24a86,Vitaly Potapenko,Assistant Coach,15
05267679-1899-4168-85fe-773fd7e7b910,Noah LaRoche,Assistant Coach,15
d5f08037-fe1e-430f-af36-82dc53641586,Anthony Carter,Assistant Coach,15
6dbb85b3-52b6-4411-b72f-5d9a948228d0,Sonia Raman,Assistant Coach,15
85d3f7d8-bf7a-49d8-b3ce-0099db62eb74,David McClure,Assistant Coach,15
7e7a54ab-a2b7-4b68-bd05-7e351c6fe352,Blake Ahearn,Assistant Coach,15
efb81e38-c308-4a64-93db-c0ccb66edbee,Joe Boylan,Assistant Coach,15
944015db-03d4-43a0-9c7e-1ab28d9d69f7,James Penn,Assistant Coach,15
9cb53f9e-05a1-4dab-9da6-7980fd43224d,Brad Jones,Assistant Coach,15
60105a04-c865-45fa-9b33-0e86a32c2b37,Taylor Jenkins,Head Coach,15
70aa4508-1bdf-4abe-b0cc-a4b26643cd19,Patrick Mutombo,Assistant Coach,15
3496a131-907b-47f4-a5ef-5e0c72811300,Eric Oetter,Head of Sports Medicine,15
b8c71548-8abf-4396-95ac-8de57cbf29c0,Darnell Lazare,Assistant Coach,15
76d4470b-510e-45c3-8286-c170c2ded323,Ryan Saunders,Assistant Coach,15
70318adc-336e-472f-96d6-d94aeea26818,Erik Schmidt,Assistant Coach,15
122fad4f-eb15-40c7-bce2-830ddfb809de,Jason March,Assistant Coach,15
11bb3e28-709f-491a-8a35-b7901fa10bd5,Tuomas Iisalo,Head Coach,15
f5506ebd-7ab3-4ad4-b0d3-e3985f617bd5,Zach Kleiman,Executive,15
75f8ce63-f949-4fc2-894b-c9d3a21e0d82,Eric Foran,Strength and Conditioning,16
c52fb650-75f5-4f3d-8a64-d642c4763520,Rob Fodor,Shooting Coach/Player Development Coach,16
dc887982-c5b1-4e37-96d0-6db0f37c91ca,Wes Brown,Trainer,16
e0ed4225-8652-43fb-bd55-4d8e6b14bb55,Chris Quinn,Associate Head Coach,16
56900021-158d-4326-9a0f-4074c3993767,Malik Allen,Assistant Coach,16
0236ce38-8fc2-4470-94ad-150acfe955de,Caron Butler,Assistant Coach,16
c817a24a-6742-4f67-9c9f-535d545dc830,Octavio De La Grana,Assistant Coach,16
a696fe27-1417-4680-a7c8-0ed7a15d7b31,Eric Glass,Assistant Coach,16
6b5094b9-7dbb-4286-87a9-2ba6443b36a0,Wayne Ellington,Assistant Coach,16
3f7154d9-edd0-4ad4-9f5b-fb5156e35391,Erik Spoelstra,Head Coach,16
891b16cf-d0d2-4aeb-b7a1-009de2dae962,Pat Riley,Executive,16
fd77b2bc-9c8f-4602-8004-dbfb3eeee50c,Patrick Mutombo,Assistant Coach,17
976fccc4-5b8c-4178-8e2c-1d639405088f,DJ Bakker,Assistant Coach,17
0b56c3c9-2374-4b19-8b07-73746adf9791,Adrian Griffin,Head Coach,17
4b3b14fc-769d-4673-8340-537f96f989e5,Scott Faust,Trainer,17
2c7b94ed-dfb6-4216-901d-b908d6ded04d,Suki Hobson,Strength and Conditioning,17
c8bc1914-f0ee-4ceb-8dd2-84b7d81fbff0,Joe Prunty,Assistant Coach,17
a8c1f93e-953e-4e5a-8996-6ff6a3674321,Josh Oppenheimer,Assistant Coach,17
546ff9b1-db66-42bd-8b37-21b5fe8bb42a,Nathaniel Mitchell,Assistant Coach,17
68002fcb-1821-42d4-bbc9-a9f0e49f5dc5,Jack Herum,Assistant Coach/Head of Player Development,17
6f5a2653-b692-4b87-854b-9307d8a60740,Jason Love,Assistant Coach/Player Development,17
