id,baseSalary,capHit,capPct,name,payrollType,player,playerId,position,_source_team_ids
4f85828e-a55c-48ad-acf2-7d902d471470,23147727,23320738,,Nic Claxton,activeRoster,1629651,1629651,C,5
063b4dfb-6d09-43a2-aa61-13427e7bcd81,21500000,21500000,,Norman Powell,activeRoster,1626181,1626181,"SG, SF",5
3f3b5a9b-a863-46f3-be5b-f5700f36604e,18000000,18000000,,Patrick Williams,activeRoster,1630172,1630172,PF,5
966d59e8-e391-4aea-bf2d-29d5f753cf67,11814814,11814814,,Isaac Okoro,activeRoster,1630171,1630171,"SG, SF",5
3b82cf07-2484-46ca-b33f-54972bbfb051,10683720,10683720,,Caleb Wilson,activeRoster,1643410,1643410,PF,5
9a372b45-e746-4246-b44e-a14f6b4b6e5b,9428571,9428571,,Jalen Smith,activeRoster,1630188,1630188,"C, PF",5
0721c733-9d1c-4ccd-9d00-05d22d95cbfc,8500000,8500000,,Zach Collins,activeRoster,1628380,1628380,"C, PF",5
9c02a93c-c319-4d18-bfc3-a5d76d1028bc,8000000,8000000,,Tre Jones,activeRoster,1630200,1630200,PG,5
5baf405c-9415-4c58-abff-0711a875f1a8,6889320,6889320,,Rob Dillingham,activeRoster,1642265,1642265,PG,5
114d8377-ad56-458d-92c1-ace6cb95fafb,5715360,5715360,,Matas Buzelis,activeRoster,1641824,1641824,"SF, PF",5
55726526-5080-4b01-a3a0-9d299fe4e949,5701200,5701200,,Noa Essengue,activeRoster,1642855,1642855,PF,5
0156443d-91e0-49ef-a6ec-a75387d643de,4965480,4965480,,Dailyn Swain,activeRoster,1643517,1643517,SG,5
be53e244-08e4-4dbb-ab93-3d6816968b89,2406205,2406205,,Leonard Miller,activeRoster,1631159,1631159,SF,5
938eb0ef-5279-40a8-bc01-a7526593e74c,0,1075459,,Kam Jones,deadCap,1642880,1642880,SG,5
2db5276c-6e82-4646-b99f-00396ec5f379,50105628,50105628,,Donovan Mitchell,activeRoster,1628378,1628378,"SG, PG",6
a1f31523-412a-4360-93f7-0d5e00c2aa48,50105628,50105628,,Evan Mobley,activeRoster,1630596,1630596,PF,6
8f6a91cf-b03c-4a70-9b84-0db66e76bbc8,0,47019232,,James Harden,capHold,201935,201935,"PG, SG",6
b38b575c-fc56-41cc-92db-15836e36a37d,28000000,28000000,,Jarrett Allen,activeRoster,1628386,1628386,C,6
a3d700a4-5057-43eb-bcd0-aa7a4292a675,16660836,16660836,,Max Strus,activeRoster,1629622,1629622,SF,6
a395f4a2-84f1-4f7f-b338-47e69a6121f3,14809200,14809200,,Dennis Schröder,activeRoster,203471,203471,"PG, SG",6
883406c6-cc97-47de-9431-56698f159386,9160715,9160715,,Sam Merrill,activeRoster,1630241,1630241,SG,6
f55440bc-f21d-4fd4-88fd-b8c0445c950f,3658560,3658560,,Jaylon Tyson,activeRoster,1642281,1642281,SG,6
0fcf69d6-3ced-48d0-9ccb-692eec7012ac,0,2449421,,Olivier Sarr,capHold,1630846,1630846,C,6
2316de4c-6165-46ab-9728-2660cc94e3bd,0,2449421,,Damian Jones,capHold,1627745,1627745,C,6
24e3e310-024a-479e-b2a7-a1c4423c4954,0,2449421,,Rajon Rondo,capHold,200765,200765,PG,6
339c5bf6-bea1-42da-80d6-cd4f87521140,3524115,2449421,,Thomas Bryant,activeRoster,1628418,1628418,C,6
4347e816-b138-4ae6-9258-4aae2670e801,0,2449421,,Raul Neto,capHold,203526,203526,PG,6
6ded89df-21df-4aac-8330-9962dc7d034c,0,2449421,,Ed Davis,capHold,202334,202334,"PF, C",6
d270e55b-4944-4e88-9e58-d150ed3109b1,0,2449421,,Chuma Okeke,capHold,1629643,1629643,"PF, SF",6
ee3531e9-cb57-4174-a843-4b19f1cf4dbd,0,2449421,,Tristan Thompson,capHold,202684,202684,"C, PF",6
c321fcd3-c518-43cf-bdc4-3382750de37b,2411090,2411090,,Nae'Qwan Tomlin,restOfSeason,1641772,1641772,PF,6
4c2091e5-171a-4c3f-98de-0be72ae38456,2406205,2406205,,Craig Porter Jr.,restOfSeason,1641854,1641854,PG,6
6a04ba1f-49bd-4af6-a85c-294daac4473d,2150917,2150917,,Tyrese Proctor,activeRoster,1642878,1642878,PG,6
7a719493-70ab-4cb2-89cc-fd75928136a7,0,424672,,Ricky Rubio,deadCap,201937,201937,PG,6
35bea7f3-8f69-4510-90e6-2f2f5a6ad62d,0,0,,Riley Minix,twoWay,1642434,1642434,SF,6
24bcba03-14b8-4c74-8c45-9dae85d61d9c,0,0,,Tristan Enaruna,twoWay,1642400,1642400,SF,6
afe64a0b-8f34-49ec-8074-420f7bf9c9df,39491282,39491282,,Kyrie Irving,activeRoster,202681,202681,"PG, SG",7
371349a1-1f93-4ed7-b09d-8525ea580df5,19813044,19813044,,P.J. Washington,activeRoster,1629023,1629023,"PF, C",7
962c4449-ee42-4ead-ae48-cb9175970186,17460317,17460317,,Klay Thompson,activeRoster,202691,202691,"SG, SF",7
2db8a879-5428-410c-a152-c9b9196df592,17263584,17263584,,Daniel Gafford,activeRoster,1629655,1629655,"C, PF",7
8e8114e0-c23a-4409-aac0-f7a8c7cb5d7b,17007043,17007043,,Santi Aldama,activeRoster,1630583,1630583,PF,7
83ea0f4d-d3e2-4eee-b49d-f3617c0933ee,14517480,14517480,,Cooper Flagg,activeRoster,1642843,1642843,SF,7
b1d4a0b1-3e70-46da-b264-e838d8eb68be,8963901,10001494,,Caleb Martin,activeRoster,1628997,1628997,SF,7
468b1b75-067b-43ac-8703-9c63252d6154,9428571,9428571,,Naji Marshall,activeRoster,1630230,1630230,SF,7
60799b53-2dca-4ce8-b23a-0554b09d9c9c,8285714,8285714,,Max Christie,activeRoster,1631108,1631108,SG,7
b8411431-1ed8-44d2-b06b-323058971417,0,7600000,,Dwight Powell,capHold,203939,203939,"C, PF",7
188dc76c-17b6-4747-832a-7fa303567e02,7239131,7239131,,Dereck Lively II,activeRoster,1641726,1641726,C,7
a15fda97-53f2-4f6c-920a-2161b9863d54,6754800,6754800,,Morez Johnson,activeRoster,1643516,1643516,PF,7
4a5ecbcb-75bc-4e77-8c04-a133270066bf,5198983,5198983,,Marcus Sasser,activeRoster,1631204,1631204,PG,7
