id,offensiveType,position,singleYearLEBRON,tier,_source_team_ids
5ee37a89-0dc2-4897-bde9-d36e1e4ca287,Movement Shooter,SF,0.32,,19
babc6898-aee3-4f99-981f-c3c659ac04d9,Shot Creator,PF,2.58,,19
7d05f917-ad04-4522-9d66-e98ddac64874,Roll + Cut Big,C,-1.48,,19
1ea15d9e-1b23-4c1c-81b5-3da28165a8cd,Primary Ball Handler,SG,-1.52,,19
c72b5ba9-3b7b-4f2e-81f1-e7d88f3c2489,Movement Shooter,SG,-3.09,,20
427240ac-3344-4a47-a090-409dfc9a9e8a,Secondary Ball Handler,SG,0.37,,20
fd14a959-4378-4ba3-b406-40ab7ea7a785,Secondary Ball Handler,PG,-2.04,,20
bb3dbb6a-7769-4683-adab-b2a09ccd0e6b,Shot Creator,PG,1.8,,20
c63f7c43-ad16-4c14-a4ea-40dbb1babc9d,Movement Shooter,PF,1.42,,20
b0cab057-5792-4394-a6f5-702dd5d6df34,Movement Shooter,SF,-0.25,,20
06daf555-4a72-48bd-a2f0-710b0beee848,Movement Shooter,SG,-2.29,,20
048217bb-808e-4c75-8a23-cf5bf754347f,Athletic Finisher,SG,1.45,,20
53994ce5-5da7-4fce-bc05-1fd3150a5297,Roll + Cut Big,C,-0.87,,20
97859d2e-c113-48b3-baaa-278fe5dd64d2,Post Scorer,C,3.16,,20
d0306f2a-c4a4-4fa1-9ca1-0eae17774374,Shot Creator,SG,-1.56,,20
94333886-0b35-4e13-bd26-34d521e6cd91,,,0,,20
e51cdfdb-f369-4357-bf4a-90765f7f0294,Primary Ball Handler,PG,-1.41,,20
f4c287ef-18d4-4a77-bf18-b4b29a9810ee,Roll + Cut Big,C,2.32,,21
ec8a0d6c-301f-4a2d-a91b-36c916f59476,Shot Creator,SG,3.44,,21
8d3a9822-4ee2-4ebe-8abd-3f6e46ee8ca9,Secondary Ball Handler,SG,-1.64,,21
3a6015f9-93c4-45ff-8f5e-8313d7554632,,,0,,21
4a0f6a17-30b6-47fe-af49-723b894e5bb5,Secondary Ball Handler,SG,-1.49,,21
f067d10a-5967-43df-b09c-7a3680620f9d,Stationary Shooter,SG,0.92,,21
fc32cb86-62f4-43e6-a93b-3325a514afb5,Shot Creator,PG,7.09,,21
d25baafd-0bdd-4f89-b82c-3d16cbb79c4d,Stationary Shooter,PF,-0.01,,21
1502af91-8919-4fdd-9155-85812fdcd2d0,,,0,,21
b158ff5e-c7fc-42eb-9e7c-76c8fd39c1f6,Stationary Shooter,SG,1.78,,21
8b2c51b9-c129-4152-a1d2-f562930cfcb4,Stationary Shooter,PF,0.64,,21
791b0d11-d08f-4d69-a9ac-f2a38c23401f,,,0,,21
39f59824-ba67-4bf7-b8c0-09d640fed0ed,Movement Shooter,SF,0.76,,21
3e069a1c-05f6-401c-87c5-585ad18d3cf7,Shot Creator,C,2.31,,21
d96eb3e1-1b97-4c1c-93b6-1e9483b91396,Roll + Cut Big,C,-1.32,,22
24b7e753-795a-431b-b381-1608bdf256f4,Movement Shooter,SF,-2.62,,22
e550d186-902c-448e-a888-1d52fce9b9ec,,,0,,22
116fa2cd-1bf9-4683-8dda-c5957e5e09d9,Versatile Big,C,0.38,,22
b63086b3-0c32-4e0f-a910-d57a8dac5073,Primary Ball Handler,SG,1.32,,22
5bdc2caa-a4c9-4eb7-988b-01298d7a8f65,Stretch Big,PF,2.58,,22
e32bdc26-3872-42e7-b878-ac7e8403467e,Shot Creator,SF,3.31,,22
9aaf9890-5039-42c6-8bf5-bbc58c0d87b9,,,0,,22
7ef89cd3-8f84-4621-afe6-a9f325fb3e66,Movement Shooter,SF,-2.1,,22
1b32171d-2ae3-4044-96e2-cce45bfc9126,Movement Shooter,PG,0.05,,22
91d7c729-2dc8-4b0d-8b5e-7374ee11dd72,Shot Creator,PF,1.04,,22
1a4b67b8-ca25-4213-8575-eb8ba14f49ae,Primary Ball Handler,PG,-0.91,,22
c964f334-66ee-4f08-b376-f6f239a5199e,Stretch Big,C,0.43,,22
d1bbffa8-21d7-4e2a-9905-3aa1d2d56b50,Movement Shooter,SF,-2.46,,22
313c7d27-029c-48f5-8c2b-b493fb8c83e0,Roll + Cut Big,C,1.64,,22
0b80845a-b9f9-4058-9747-54d5724a0fe5,Primary Ball Handler,PG,1.7,,22
eb588e9c-6e7c-41be-8aa7-3aefc20025b8,,,0,,22
a696ee40-bc2a-4879-b575-1b5c60ec433b,Shot Creator,PG,1.22,,23
